Q_ID,CL_ID,CL_GENDER,CL_CHILDREN,CL_M_INCOME,DES_CRED_VAL,CL_EDU,CL_HOUSE_SIT,CL_OCCUPATION,Q_DATE,CR_RET_DATE,E_ASSIST,RISK_CALC,CR_DECISION
40,83120412747,F,4,13847.46,9261.16,Incomplete higher education,Owned house,Manager,2021-07-07,2023-05-28,0,6.92,Rejected
41,70060358225,M,2,13073.93,25466.12,Incomplete higher education,Owned house,Manager,2021-07-07,2022-08-01,3,4.84,Accepted
42,04242129806,F,4,12939.26,3034.69,Secondary,Rented apartment,Self-employed,2021-07-07,2022-08-31,0,7.13,Rejected
43,69061054617,M,0,7363.08,15898.23,Incomplete higher education,Living with parents,Self-employed,2021-07-07,2022-09-30,14,3.74,Accepted
44,81090930862,M,3,8645.47,12209.98,Higher education,Living with parents,Self-employed,2021-07-07,2022-09-30,8,3.04,Accepted
45,62050795086,F,2,7727.96,28253.69,Higher education,Living with parents,Laborer,2021-07-07,2022-06-02,4,4.04,Accepted
46,52122297724,M,0,8214.45,20921.45,Secondary,Living with parents,Self-employed,2021-07-07,2022-09-30,11,3.4,Accepted
47,98060195118,M,2,2903.94,2873.79,Incomplete higher education,Rented apartment,Self-employed,2021-07-07,2022-08-31,0,6.1,Rejected
48,80021334084,M,1,8775.35,5957.99,Secondary,Living with parents,Laborer,2021-07-07,2022-12-29,4,3.18,Accepted
49,62012207192,M,2,6075.65,16358.25,Incomplete higher education,Rented apartment,Laborer,2021-07-07,2022-04-03,4,4.74,Accepted
50,63021189577,F,1,10695.56,24453.1,Higher education,Owned house,Self-employed,2021-07-07,2023-04-28,7,4.58,Accepted
51,85091576284,M,3,7241.07,2623.12,Higher education,Rented apartment,Manager,2021-07-14,2022-11-06,12,2.89,Accepted
52,00322719561,M,3,14065.11,4864.68,Incomplete higher education,Owned house,Laborer,2021-07-14,2022-04-10,0,5.9,Accepted
53,70060358225,M,4,8026.89,11385.66,Incomplete higher education,Living with parents,Self-employed,2021-07-14,2022-03-11,5,4.81,Accepted
54,80092588225,F,1,13783.14,7631.4,Incomplete higher education,Rented apartment,Laborer,2021-07-14,2022-01-10,9,5.32,Accepted
55,55010441008,F,4,12538.77,26950.02,Secondary,Living with parents,Laborer,2021-07-14,2022-03-11,13,5.8,Accepted
56,49042513169,F,2,6017.33,23255.43,Secondary,Living with parents,Self-employed,2021-07-14,2023-01-05,15,5.36,Accepted
57,06310604407,M,4,3487.9,6242.9,Secondary,Rented apartment,Manager,2021-07-14,2022-12-06,0,5.75,Accepted
58,67012322384,F,0,11870.33,1104.52,Secondary,Rented apartment,Laborer,2021-07-14,2023-02-04,0,4.84,Accepted
59,99030385221,F,3,5234.92,19699.21,Incomplete higher education,Owned house,Self-employed,2021-07-14,2022-02-09,0,5.94,Accepted
60,62012207192,F,2,5876.4,19995.6,Secondary,Owned house,Laborer,2021-07-14,2022-08-08,1,6.07,Rejected
61,65101021967,F,4,2303.63,26460.22,Higher education,Rented apartment,Self-employed,2021-07-14,2023-03-06,13,5.19,Accepted
62,76030113955,F,1,2488.88,13142.71,Higher education,Owned house,Manager,2021-07-21,2023-04-12,5,4.2,Accepted
63,55010441008,M,2,8434.02,19722.98,Secondary,Rented apartment,Laborer,2021-07-21,2023-02-11,13,5.24,Accepted
64,90060108826,F,2,7098.03,18510.28,Incomplete higher education,Rented apartment,Laborer,2021-07-21,2022-09-14,0,6.05,Rejected
65,52021541140,M,3,11475.76,24163.66,Secondary,Owned house,Self-employed,2021-07-21,2022-03-18,4,4.9,Accepted
66,54013129468,F,1,6562.5,27035.65,Secondary,Living with parents,Self-employed,2021-07-21,2022-02-16,1,5.21,Accepted
67,83120412747,F,1,2241.49,4602.58,Higher education,Owned house,Laborer,2021-07-28,2022-02-23,14,4.9,Accepted
68,78072047216,M,3,14138.27,28014.3,Secondary,Living with parents,Laborer,2021-07-28,2023-01-19,3,4.91,Accepted
69,04242129806,M,2,2856.41,19380.8,Secondary,Living with parents,Self-employed,2021-07-28,2023-06-18,0,5.24,Accepted
70,00300515077,F,0,5077.23,10284.2,Higher education,Owned house,Manager,2021-07-28,2023-05-19,1,5.1,Accepted
71,98051297203,F,2,11269.63,12258.85,Incomplete higher education,Owned house,Laborer,2021-07-28,2022-02-23,0,6.76,Rejected
72,85062042011,F,1,3479.01,19474.16,Higher education,Owned house,Manager,2021-07-28,2022-11-20,2,3.89,Accepted
73,54082230607,F,0,8371.36,15776.02,Secondary,Rented apartment,Self-employed,2021-07-28,2022-12-20,6,5.58,Accepted
74,49102430372,M,0,4508.64,10720.93,Higher education,Rented apartment,Self-employed,2021-07-28,2023-06-18,4,2.41,Accepted
75,67012322384,M,0,9321.6,10653.88,Incomplete higher education,Living with parents,Self-employed,2021-07-28,2022-08-22,14,2.66,Accepted
76,00322719561,F,1,4076.24,10728.37,Incomplete higher education,Living with parents,Laborer,2021-08-04,2023-02-25,0,7.94,Rejected
77,83120412747,M,1,2472.11,23007.98,Secondary,Living with parents,Manager,2021-08-04,2022-08-29,14,3.66,Accepted
78,97082451067,M,1,13317.85,19755.46,Secondary,Rented apartment,Self-employed,2021-08-04,2022-04-01,12,4.37,Accepted
79,79032687228,F,4,2814.1,20202.79,Incomplete higher education,Rented apartment,Self-employed,2021-08-04,2022-09-28,0,6.78,Rejected
80,65032060200,F,4,6160.4,22292.31,Incomplete higher education,Living with parents,Laborer,2021-08-04,2023-05-26,15,6.85,Rejected
81,85122904531,F,2,14155.77,20275.8,Higher education,Owned house,Self-employed,2021-08-04,2022-05-31,11,3.4,Accepted
82,49042513169,F,4,8808.23,25273.73,Secondary,Owned house,Laborer,2021-08-04,2022-12-27,3,7.05,Rejected
83,62050795086,F,0,12401.22,12454.58,Incomplete higher education,Owned house,Self-employed,2021-08-04,2023-04-26,8,4.95,Accepted
84,55071054089,F,4,5401.03,17461.44,Secondary,Owned house,Manager,2021-08-04,2022-09-28,11,6.19,Rejected
85,73121557098,F,1,7939.02,10142.2,Secondary,Living with parents,Manager,2021-08-04,2023-07-25,5,4.64,Accepted
86,02250151529,M,4,2432.51,16070.54,Secondary,Living with parents,Laborer,2021-08-11,2022-02-07,0,5.71,Accepted
87,84092523205,F,3,13389.3,29865.81,Incomplete higher education,Living with parents,Laborer,2021-08-11,2022-05-08,0,6.42,Rejected
88,71102361255,M,3,9424.37,18990.69,Secondary,Rented apartment,Manager,2021-08-11,2022-08-06,0,4.39,Accepted
89,79032687228,M,0,11501.15,18213.91,Higher education,Owned house,Laborer,2021-08-11,2022-02-07,14,1.4,Accepted
90,85122904531,F,3,8394.74,23279.49,Higher education,Living with parents,Laborer,2021-08-11,2022-12-04,6,3.72,Accepted
91,87052010339,F,0,12883.67,11817.04,Secondary,Rented apartment,Self-employed,2021-08-11,2022-10-05,11,4.74,Accepted
92,52122297724,F,0,11378.29,12540.38,Higher education,Living with parents,Manager,2021-08-11,2023-01-03,3,4.38,Accepted
93,03241917061,M,0,2759.99,7193.05,Higher education,Rented apartment,Self-employed,2021-08-11,2022-07-07,0,4.15,Accepted
94,55021571643,M,0,7787.03,11976.45,Incomplete higher education,Living with parents,Laborer,2021-08-11,2023-01-03,11,2.99,Accepted
95,82050916674,M,2,3358.11,17400.95,Higher education,Owned house,Self-employed,2021-08-11,2022-12-04,7,2.57,Accepted
96,73121557098,M,2,8213.05,1138.08,Incomplete higher education,Owned house,Laborer,2021-08-11,2022-11-04,0,3.24,Accepted
97,00300710157,F,3,7767.19,5612.32,Incomplete higher education,Rented apartment,Laborer,2021-08-18,2022-04-15,0,7.69,Rejected
98,85091576284,M,4,11433.16,20823.7,Higher education,Rented apartment,Self-employed,2021-08-18,2023-08-08,0,2.85,Accepted
99,76030113955,M,0,12429.44,13659.58,Higher education,Rented apartment,Self-employed,2021-08-18,2022-07-14,11,1.33,Accepted
100,85051410165,F,2,8953.5,12407.57,Secondary,Living with parents,Self-employed,2021-08-18,2023-07-09,2,5.24,Accepted
101,78020537581,M,3,13516.03,26521.25,Secondary,Rented apartment,Self-employed,2021-08-18,2022-10-12,8,4.85,Accepted
102,70070401069,F,2,14969.17,26795.6,Incomplete higher education,Living with parents,Self-employed,2021-08-18,2023-02-09,13,6.24,Rejected
103,96061401697,F,1,14141.69,24479.62,Incomplete higher education,Living with parents,Self-employed,2021-08-18,2023-02-09,5,5.98,Accepted
104,49102430372,F,2,14598.37,1883.9,Secondary,Owned house,Manager,2021-08-18,2022-06-14,6,5.08,Accepted
105,55071054089,M,0,11873.18,8894.56,Higher education,Owned house,Self-employed,2021-08-18,2022-12-11,15,2.87,Accepted
106,55010218323,M,4,2522.0,16323.32,Higher education,Rented apartment,Self-employed,2021-08-18,2023-08-08,9,4.42,Accepted
107,63021189577,F,3,14838.24,22548.84,Higher education,Rented apartment,Laborer,2021-08-18,2022-11-11,13,3.28,Accepted
108,76030113955,M,4,13580.92,12964.53,Secondary,Living with parents,Self-employed,2021-08-25,2022-07-21,0,3.33,Accepted
109,95052253514,F,3,9928.55,24994.02,Incomplete higher education,Rented apartment,Manager,2021-08-25,2022-03-23,0,7.08,Rejected
110,53062707551,F,3,6757.29,20445.25,Higher education,Rented apartment,Self-employed,2021-08-25,2022-08-20,15,5.05,Accepted
111,62081600060,M,4,6794.78,22611.67,Higher education,Rented apartment,Self-employed,2021-09-01,2022-12-25,1,2.8,Accepted
112,69061054617,M,0,14921.31,2894.43,Secondary,Living with parents,Manager,2021-09-01,2022-02-28,3,2.47,Accepted
113,00300515077,F,4,5649.21,21758.52,Incomplete higher education,Owned house,Laborer,2021-09-01,2022-06-28,1,6.83,Rejected
114,55010441008,M,3,3201.44,21337.84,Higher education,Living with parents,Laborer,2021-09-01,2022-05-29,11,3.4,Accepted
115,81012653730,F,1,9802.56,6150.24,Incomplete higher education,Owned house,Laborer,2021-09-01,2022-10-26,2,5.66,Accepted
116,96061401697,F,3,14683.66,17796.85,Incomplete higher education,Rented apartment,Laborer,2021-09-01,2022-07-28,0,6.37,Rejected
117,69120948810,F,0,13178.63,11616.42,Incomplete higher education,Owned house,Manager,2021-09-01,2022-12-25,10,4.07,Accepted
118,98060195118,M,3,3701.43,1149.94,Higher education,Rented apartment,Self-employed,2021-09-01,2023-01-24,0,3.07,Accepted
119,52021541140,F,2,3737.3,24015.85,Secondary,Owned house,Self-employed,2021-09-01,2022-10-26,15,6.74,Rejected
120,82050916674,F,1,8288.67,12404.87,Secondary,Rented apartment,Manager,2021-09-01,2023-05-24,0,5.82,Accepted
121,69110966434,F,1,3475.95,14992.93,Secondary,Living with parents,Self-employed,2021-09-08,2023-05-01,1,5.08,Accepted
122,03231529813,F,4,12433.13,23295.37,Secondary,Rented apartment,Self-employed,2021-09-08,2022-03-07,0,7.03,Rejected
123,85091576284,F,1,11482.42,26050.91,Higher education,Rented apartment,Laborer,2021-09-08,2023-07-30,1,3.16,Accepted
124,81100645552,M,2,8239.09,24597.98,Higher education,Living with parents,Laborer,2021-09-08,2023-05-01,8,2.49,Accepted
125,85051410165,M,1,2557.07,25916.44,Higher education,Living with parents,Self-employed,2021-09-08,2023-05-31,12,2.61,Accepted
126,87052010339,M,4,4102.99,6290.37,Higher education,Owned house,Laborer,2021-09-08,2023-06-30,4,4.56,Accepted
127,52122297724,F,0,8297.77,19610.61,Higher education,Owned house,Self-employed,2021-09-08,2023-08-29,9,3.96,Accepted
128,62061949013,M,2,6172.42,5524.92,Higher education,Living with parents,Manager,2021-09-08,2022-08-04,1,2.33,Accepted
129,69120948810,F,3,2579.73,12306.49,Incomplete higher education,Living with parents,Laborer,2021-09-08,2023-01-31,7,5.43,Accepted
130,06282377930,M,2,11721.54,19554.79,Secondary,Rented apartment,Laborer,2021-09-08,2023-05-31,0,5.14,Accepted
131,52021541140,M,2,5750.89,29599.81,Secondary,Owned house,Manager,2021-09-08,2022-06-05,8,5.24,Accepted
132,81100645552,M,1,9657.54,5954.66,Secondary,Living with parents,Self-employed,2021-09-15,2023-09-05,11,3.75,Accepted
133,52021290757,F,0,7755.85,17206.44,Secondary,Owned house,Manager,2021-09-15,2022-08-11,6,4.46,Accepted
134,50011817748,M,0,2062.66,17271.68,Secondary,Rented apartment,Self-employed,2021-09-15,2023-04-08,11,4.39,Accepted
135,06231712601,M,0,12258.06,29747.2,Secondary,Rented apartment,Manager,2021-09-15,2022-06-12,0,4.87,Accepted
136,81012653730,F,2,8767.23,17542.82,Secondary,Owned house,Laborer,2021-09-15,2023-09-05,2,6.06,Rejected
137,71111822291,F,4,11235.09,27092.24,Higher education,Living with parents,Self-employed,2021-09-15,2023-01-08,0,5.21,Accepted
138,52122297724,M,0,6607.94,29265.89,Incomplete higher education,Owned house,Manager,2021-09-15,2023-09-05,12,4.14,Accepted
139,68041437034,F,3,4957.42,10544.93,Incomplete higher education,Living with parents,Self-employed,2021-09-15,2023-01-08,0,6.86,Rejected
140,67012322384,F,0,4291.75,18789.68,Higher education,Rented apartment,Manager,2021-09-15,2022-11-09,12,3.43,Accepted
141,62012207192,F,3,12314.64,29491.05,Secondary,Living with parents,Manager,2021-09-15,2022-04-13,15,4.39,Accepted
142,63021189577,F,3,5271.9,11362.29,Secondary,Rented apartment,Manager,2021-09-15,2023-03-09,3,6.26,Rejected
143,57041540549,M,0,5082.38,27012.74,Secondary,Owned house,Self-employed,2021-09-15,2022-12-09,15,4.22,Accepted
144,02250151529,M,2,14121.96,28092.28,Higher education,Owned house,Self-employed,2021-09-22,2022-04-20,0,3.45,Accepted
145,65081376645,F,0,10842.18,16429.5,Incomplete higher education,Living with parents,Self-employed,2021-09-22,2022-12-16,10,4.79,Accepted
146,81100645552,M,1,11971.66,12479.05,Secondary,Living with parents,Laborer,2021-09-22,2023-03-16,1,3.64,Accepted
147,91072147403,M,0,12574.54,16978.4,Incomplete higher education,Rented apartment,Manager,2021-09-22,2022-03-21,12,4.45,Accepted
148,98080128551,F,1,3495.32,26009.5,Higher education,Owned house,Manager,2021-09-22,2023-03-16,0,4.14,Accepted
149,71102361255,F,3,2513.86,13866.41,Secondary,Rented apartment,Manager,2021-09-22,2023-07-14,10,6.72,Rejected
150,55010441008,F,3,6742.68,14509.49,Incomplete higher education,Living with parents,Laborer,2021-09-22,2023-09-12,3,5.87,Accepted
151,86082859764,M,2,12694.32,10975.16,Incomplete higher education,Living with parents,Self-employed,2021-09-22,2022-06-19,4,3.35,Accepted
152,88122040605,M,1,3579.5,24288.27,Higher education,Living with parents,Self-employed,2021-09-22,2023-06-14,9,2.49,Accepted
153,49082653304,F,1,5248.23,20429.8,Incomplete higher education,Rented apartment,Manager,2021-09-22,2023-09-12,14,5.84,Accepted
154,82050916674,F,4,8713.65,29022.48,Incomplete higher education,Rented apartment,Manager,2021-09-22,2022-07-19,14,6.37,Rejected
155,85051410165,M,0,9064.17,14502.29,Higher education,Rented apartment,Laborer,2021-09-29,2023-09-19,5,2.78,Accepted
156,95052253514,M,1,7483.34,27367.95,Higher education,Rented apartment,Self-employed,2021-09-29,2022-06-26,0,2.57,Accepted
157,78072047216,M,2,10025.57,20341.55,Incomplete higher education,Owned house,Laborer,2021-09-29,2023-03-23,4,3.69,Accepted
158,62081600060,F,1,7717.09,19471.73,Secondary,Owned house,Manager,2021-09-29,2022-08-25,9,5.26,Accepted
159,55031413955,M,1,2325.06,11475.06,Secondary,Owned house,Laborer,2021-09-29,2023-06-21,3,3.43,Accepted
160,96061401697,M,3,8757.71,23582.4,Incomplete higher education,Living with parents,Laborer,2021-09-29,2023-02-21,0,5.02,Accepted
161,89061397766,M,4,13741.36,20966.72,Secondary,Living with parents,Laborer,2021-09-29,2023-02-21,0,4.39,Accepted
162,56101750002,M,1,2638.07,29120.54,Secondary,Rented apartment,Laborer,2021-09-29,2023-07-21,6,4.7,Accepted
163,68041437034,F,4,3324.48,12329.02,Higher education,Rented apartment,Self-employed,2021-09-29,2023-06-21,6,4.41,Accepted
164,52021541140,M,3,3429.93,1292.98,Incomplete higher education,Owned house,Self-employed,2021-09-29,2022-10-24,3,4.41,Accepted
165,73121557098,M,4,10168.51,11016.33,Incomplete higher education,Owned house,Self-employed,2021-09-29,2023-09-19,3,4.13,Accepted
166,02250151529,F,0,8926.9,6235.3,Incomplete higher education,Rented apartment,Self-employed,2021-10-06,2023-05-29,0,6.31,Rejected
167,83120412747,M,1,8357.72,25271.74,Secondary,Living with parents,Laborer,2021-10-06,2023-01-29,10,4.65,Accepted
168,78020537581,M,0,9863.48,14023.75,Secondary,Rented apartment,Laborer,2021-10-06,2023-01-29,0,3.0,Accepted
169,85122904531,F,2,14914.77,9402.9,Higher education,Living with parents,Self-employed,2021-10-06,2022-11-30,5,3.54,Accepted
170,55031413955,F,3,13536.42,3149.66,Higher education,Owned house,Self-employed,2021-10-06,2023-08-27,2,3.55,Accepted
171,89061397766,F,1,14923.56,11757.4,Incomplete higher education,Rented apartment,Manager,2021-10-06,2023-02-28,7,5.36,Accepted
172,72082657106,F,1,9471.86,9840.59,Incomplete higher education,Rented apartment,Laborer,2021-10-06,2022-08-02,2,6.27,Rejected
173,85062042011,F,4,6571.97,9877.77,Secondary,Living with parents,Laborer,2021-10-06,2022-10-01,0,5.32,Accepted
174,64120916979,F,3,3703.4,7508.44,Incomplete higher education,Rented apartment,Laborer,2021-10-06,2023-08-27,1,6.78,Rejected
175,88122040605,M,4,3346.02,28362.3,Incomplete higher education,Owned house,Self-employed,2021-10-06,2023-05-29,7,4.49,Accepted
176,65081376645,M,1,12869.05,18113.32,Secondary,Owned house,Manager,2021-10-13,2022-07-10,14,4.19,Accepted
177,83120412747,M,2,12035.5,15324.55,Higher education,Rented apartment,Manager,2021-10-13,2023-10-03,12,1.87,Accepted
178,76030113955,F,4,6853.78,2864.62,Incomplete higher education,Owned house,Self-employed,2021-10-13,2022-10-08,3,7.19,Rejected
179,77010702059,F,4,14374.41,13091.86,Secondary,Rented apartment,Manager,2021-10-13,2022-06-10,9,6.05,Rejected
180,62061949013,M,3,14068.74,25119.24,Secondary,Owned house,Self-employed,2021-10-13,2022-10-08,6,3.31,Accepted
181,72082657106,M,4,11047.75,19657.66,Secondary,Living with parents,Manager,2021-10-13,2022-06-10,12,3.68,Accepted
182,06310604407,F,1,2675.38,22125.35,Incomplete higher education,Rented apartment,Manager,2021-10-13,2023-06-05,0,6.82,Rejected
183,06272456209,F,1,4893.43,25475.66,Incomplete higher education,Living with parents,Manager,2021-10-13,2023-05-06,0,7.95,Rejected
184,54052861607,F,3,10576.55,3706.36,Incomplete higher education,Owned house,Manager,2021-10-13,2023-07-05,10,7.03,Rejected
185,79032687228,M,0,3621.59,29390.67,Incomplete higher education,Living with parents,Self-employed,2021-10-20,2022-06-17,0,4.06,Accepted
186,70070401069,F,0,9596.06,6320.73,Secondary,Living with parents,Self-employed,2021-10-20,2023-02-12,5,4.92,Accepted
187,74032012341,F,0,13006.18,13439.54,Incomplete higher education,Owned house,Self-employed,2021-10-20,2023-06-12,11,3.89,Accepted
188,77010702059,M,4,10652.14,20886.43,Higher education,Rented apartment,Manager,2021-10-20,2022-06-17,15,2.91,Accepted
189,03221732711,M,0,8348.12,21689.14,Higher education,Living with parents,Laborer,2021-10-20,2022-07-17,0,3.03,Accepted
190,56101750002,M,1,4137.09,28758.11,Higher education,Living with parents,Self-employed,2021-10-20,2023-03-14,11,2.37,Accepted
191,54082230607,F,4,4210.86,1606.0,Incomplete higher education,Rented apartment,Manager,2021-10-20,2022-12-14,9,6.79,Rejected
192,98060195118,M,4,9259.83,23401.75,Incomplete higher education,Living with parents,Laborer,2021-10-20,2023-01-13,0,4.48,Accepted
193,82050916674,M,1,6616.85,21084.59,Incomplete higher education,Rented apartment,Self-employed,2021-10-20,2023-03-14,15,4.56,Accepted
194,03231529813,M,4,11609.02,15638.08,Secondary,Owned house,Laborer,2021-10-27,2022-12-21,0,4.91,Accepted
195,06222716742,M,3,9456.27,26087.04,Higher education,Owned house,Manager,2021-10-27,2022-07-24,0,4.36,Accepted
196,00322719561,M,3,5064.94,25560.06,Incomplete higher education,Rented apartment,Self-employed,2021-10-27,2023-01-20,0,6.34,Rejected
197,50011817748,F,4,7778.33,21242.2,Incomplete higher education,Rented apartment,Self-employed,2021-10-27,2023-06-19,5,6.81,Rejected
198,89061397766,F,4,11400.19,6908.87,Incomplete higher education,Rented apartment,Manager,2021-10-27,2023-05-20,2,5.89,Accepted
199,68041437034,F,3,11139.39,16855.14,Incomplete higher education,Owned house,Self-employed,2021-10-27,2022-05-25,4,6.41,Rejected
200,86082859764,M,3,3086.88,29291.23,Secondary,Rented apartment,Manager,2021-10-27,2022-06-24,1,4.49,Accepted
201,67012322384,F,2,11961.24,27699.77,Higher education,Rented apartment,Self-employed,2021-10-27,2023-02-19,5,4.05,Accepted
202,84060591192,F,4,14109.42,8753.6,Secondary,Rented apartment,Laborer,2021-10-27,2022-05-25,4,5.41,Accepted
203,55021571643,F,4,13416.33,26907.49,Higher education,Owned house,Self-employed,2021-10-27,2023-05-20,6,5.22,Accepted
204,55010218323,F,1,13902.97,14571.61,Secondary,Rented apartment,Laborer,2021-10-27,2023-10-17,2,5.69,Accepted
205,65101021967,F,0,14511.92,5562.12,Incomplete higher education,Living with parents,Self-employed,2021-10-27,2022-12-21,9,5.54,Accepted
206,85091576284,F,1,13448.03,28149.6,Incomplete higher education,Rented apartment,Laborer,2021-11-03,2022-07-31,6,4.74,Accepted
207,50011817748,M,1,9625.47,17867.12,Higher education,Rented apartment,Laborer,2021-11-03,2023-03-28,10,2.11,Accepted
208,96061401697,M,1,9753.12,10556.34,Higher education,Owned house,Manager,2021-11-03,2022-10-29,0,2.81,Accepted
209,52122297724,F,1,8132.63,4896.34,Secondary,Owned house,Laborer,2021-11-03,2022-08-30,1,5.82,Accepted
210,06282377930,F,4,12391.39,23314.38,Incomplete higher education,Rented apartment,Laborer,2021-11-03,2022-10-29,0,8.14,Rejected
211,98060195118,M,2,5718.92,28842.0,Higher education,Owned house,Manager,2021-11-03,2023-05-27,0,2.87,Accepted
212,80021334084,M,2,13986.15,15555.9,Secondary,Owned house,Laborer,2021-11-03,2023-03-28,0,2.92,Accepted
213,73121557098,F,0,13745.62,22929.58,Higher education,Owned house,Self-employed,2021-11-03,2023-10-24,10,2.83,Accepted
214,69110966434,M,2,5873.55,9406.22,Incomplete higher education,Owned house,Manager,2021-11-10,2022-05-09,5,3.32,Accepted
215,00300710157,F,3,10340.25,24202.94,Incomplete higher education,Owned house,Laborer,2021-11-10,2022-10-06,0,6.92,Rejected
216,95052253514,F,0,11860.63,22706.48,Incomplete higher education,Rented apartment,Laborer,2021-11-10,2023-10-01,0,5.66,Accepted
