Q_ID,CL_ID,CL_GENDER,CL_CHILDREN,CL_M_INCOME,DES_CRED_VAL,CL_EDU,CL_HOUSE_SIT,CL_OCCUPATION,Q_DATE,CR_RET_DATE,E_ASSIST,RISK_CALC,CR_DECISION
56,03260473046,F,2,13106.3,11627.62,Secondary,Owned house,Manager,2021-07-07,2023-01-28,0,6.18,Rejected
57,79031550799,F,1,7782.77,28045.26,Secondary,Rented apartment,Laborer,2021-07-07,2022-06-02,0,5.62,Accepted
58,85022542523,M,4,3267.55,22930.37,Incomplete higher education,Rented apartment,Manager,2021-07-07,2023-03-29,0,4.78,Accepted
59,02213031967,M,4,6709.06,21952.9,Higher education,Living with parents,Laborer,2021-07-07,2022-04-03,0,4.89,Accepted
60,89021623793,F,3,13283.33,6063.33,Incomplete higher education,Living with parents,Manager,2021-07-14,2022-03-11,2,6.64,Rejected
61,60061246707,M,1,13362.81,10664.96,Incomplete higher education,Living with parents,Laborer,2021-07-14,2023-02-04,5,4.58,Accepted
62,56111621589,M,0,13350.46,12617.68,Incomplete higher education,Owned house,Manager,2021-07-14,2023-06-04,4,3.97,Accepted
63,06271677108,F,1,6959.36,21445.88,Secondary,Owned house,Laborer,2021-07-14,2022-10-07,0,7.05,Rejected
64,60030863756,M,2,11907.15,26901.59,Incomplete higher education,Living with parents,Manager,2021-07-14,2022-05-10,2,3.29,Accepted
65,77101059704,F,0,5296.67,18601.44,Incomplete higher education,Rented apartment,Self-employed,2021-07-14,2022-12-06,7,4.91,Accepted
66,59102659263,F,3,12601.47,11727.08,Incomplete higher education,Living with parents,Manager,2021-07-14,2022-08-08,6,6.12,Rejected
67,53022168473,M,3,8459.65,22833.4,Higher education,Rented apartment,Manager,2021-07-21,2022-10-14,1,2.62,Accepted
68,72061926062,M,0,12199.18,27145.65,Higher education,Living with parents,Laborer,2021-07-21,2022-06-16,0,1.82,Accepted
69,84042384911,F,2,12369.94,19805.06,Incomplete higher education,Living with parents,Self-employed,2021-07-21,2022-06-16,2,5.61,Accepted
70,62101403936,M,0,4652.42,6857.92,Incomplete higher education,Rented apartment,Laborer,2021-07-21,2023-05-12,1,3.21,Accepted
71,72100136874,M,3,6672.68,27679.29,Higher education,Owned house,Laborer,2021-07-21,2022-02-16,0,3.34,Accepted
72,70070850929,M,1,4548.32,29848.41,Higher education,Rented apartment,Self-employed,2021-07-21,2022-02-16,2,2.59,Accepted
73,86101514125,F,2,13373.75,28420.1,Higher education,Owned house,Self-employed,2021-07-21,2023-06-11,4,3.73,Accepted
74,90022651923,F,4,14507.91,4282.62,Secondary,Rented apartment,Self-employed,2021-07-21,2023-05-12,0,5.84,Accepted
75,92050170712,M,2,11940.74,25932.21,Incomplete higher education,Rented apartment,Self-employed,2021-07-28,2022-10-21,1,3.87,Accepted
76,93060411492,F,0,5510.32,28785.12,Incomplete higher education,Living with parents,Self-employed,2021-07-28,2022-12-20,0,5.52,Accepted
77,85032189621,F,0,6354.01,20730.64,Higher education,Living with parents,Manager,2021-07-28,2022-03-25,3,3.12,Accepted
78,01230101756,M,4,9836.1,10398.95,Higher education,Owned house,Manager,2021-07-28,2023-06-18,0,4.29,Accepted
79,72052331932,F,0,14015.21,17926.34,Higher education,Living with parents,Self-employed,2021-07-28,2022-10-21,0,3.49,Accepted
80,61091519319,F,1,14683.53,22206.65,Higher education,Owned house,Self-employed,2021-07-28,2023-03-20,6,4.39,Accepted
81,72062818713,F,3,3869.44,13884.35,Secondary,Living with parents,Manager,2021-07-28,2022-01-24,6,6.49,Rejected
82,56111621589,F,0,8297.22,21373.74,Secondary,Owned house,Self-employed,2021-07-28,2022-11-20,1,5.51,Accepted
83,91041803526,F,4,12652.04,3147.11,Incomplete higher education,Owned house,Self-employed,2021-07-28,2023-07-18,4,6.1,Rejected
84,51031167016,M,2,4989.71,14179.65,Secondary,Living with parents,Self-employed,2021-07-28,2022-04-24,6,4.85,Accepted
85,71012885096,M,0,9825.58,2369.22,Higher education,Owned house,Self-employed,2021-07-28,2022-02-23,0,1.3,Accepted
86,77040305122,M,4,2362.66,24560.54,Secondary,Rented apartment,Self-employed,2021-07-28,2022-10-21,0,5.67,Accepted
87,76040656560,F,1,10696.39,2354.3,Incomplete higher education,Rented apartment,Laborer,2021-08-04,2023-01-26,5,5.17,Accepted
88,49051037293,M,0,6585.12,4791.69,Incomplete higher education,Rented apartment,Self-employed,2021-08-04,2023-05-26,7,3.26,Accepted
89,64020831292,M,3,11672.57,24812.3,Secondary,Living with parents,Self-employed,2021-08-04,2022-06-30,4,3.04,Accepted
90,01311928834,F,2,6931.33,2313.11,Incomplete higher education,Owned house,Self-employed,2021-08-04,2022-03-02,0,6.1,Rejected
91,65110365888,F,3,2103.78,29586.01,Higher education,Living with parents,Laborer,2021-08-04,2023-06-25,1,4.52,Accepted
92,51031311324,M,0,8080.1,22460.49,Incomplete higher education,Rented apartment,Laborer,2021-08-04,2023-01-26,5,3.48,Accepted
93,91040973877,F,1,12063.58,13779.23,Secondary,Owned house,Self-employed,2021-08-04,2023-03-27,1,5.94,Accepted
94,58122542971,F,3,4021.78,7335.4,Incomplete higher education,Rented apartment,Manager,2021-08-04,2022-04-01,1,6.14,Rejected
95,77101059704,M,1,10086.32,26589.14,Incomplete higher education,Owned house,Manager,2021-08-04,2022-05-31,4,4.31,Accepted
96,02281190300,M,2,7989.64,20621.69,Incomplete higher education,Rented apartment,Laborer,2021-08-11,2023-07-02,0,5.01,Accepted
97,97040317055,M,3,14518.73,10706.66,Higher education,Rented apartment,Manager,2021-08-11,2022-11-04,0,3.2,Accepted
98,98082920521,M,0,14295.1,5718.97,Secondary,Rented apartment,Laborer,2021-08-11,2023-03-04,0,3.3,Accepted
99,58042429527,F,2,14409.84,23912.46,Secondary,Living with parents,Laborer,2021-08-11,2022-06-07,3,6.09,Rejected
100,03320893255,F,4,3893.17,19576.4,Secondary,Rented apartment,Self-employed,2021-08-11,2022-02-07,3,7.79,Rejected
101,02213031967,M,4,6826.79,29946.72,Incomplete higher education,Owned house,Manager,2021-08-11,2023-03-04,0,6.74,Rejected
102,95103138648,F,1,12189.22,24029.54,Higher education,Living with parents,Laborer,2021-08-18,2023-07-09,6,4.96,Accepted
103,82111204223,M,4,11389.07,8785.91,Incomplete higher education,Owned house,Laborer,2021-08-18,2022-10-12,4,5.31,Accepted
104,61051193413,F,0,3343.02,25558.82,Higher education,Rented apartment,Laborer,2021-08-18,2023-03-11,6,2.76,Accepted
105,93011532777,M,0,5273.44,27646.25,Incomplete higher education,Living with parents,Laborer,2021-08-18,2023-08-08,7,3.9,Accepted
106,64020831292,M,0,3563.47,7813.65,Incomplete higher education,Owned house,Laborer,2021-08-18,2022-08-13,1,3.33,Accepted
107,65110365888,F,1,14736.03,21967.65,Higher education,Living with parents,Laborer,2021-08-18,2023-06-09,3,3.68,Accepted
108,03260473046,F,2,6357.58,16543.26,Secondary,Living with parents,Self-employed,2021-08-18,2022-04-15,0,7.84,Rejected
109,05303184672,F,0,2314.83,3169.06,Incomplete higher education,Owned house,Self-employed,2021-08-18,2023-01-10,0,7.14,Rejected
110,77101059704,M,1,11797.46,26141.83,Incomplete higher education,Living with parents,Self-employed,2021-08-18,2022-06-14,0,3.07,Accepted
111,71012885096,M,0,10859.24,12296.3,Incomplete higher education,Living with parents,Manager,2021-08-18,2022-11-11,0,2.6,Accepted
112,87092733324,M,4,5952.15,1059.3,Secondary,Owned house,Laborer,2021-08-18,2022-04-15,5,4.06,Accepted
113,71052329102,F,0,12216.1,5565.14,Secondary,Rented apartment,Laborer,2021-08-25,2022-09-19,2,4.49,Accepted
114,87121517782,F,1,2373.31,29222.85,Higher education,Owned house,Self-employed,2021-08-25,2023-05-17,5,4.78,Accepted
115,49051037293,M,1,9750.42,27642.72,Incomplete higher education,Living with parents,Laborer,2021-08-25,2023-07-16,3,4.69,Accepted
116,99070503534,M,3,10319.11,3868.86,Incomplete higher education,Owned house,Manager,2021-08-25,2022-11-18,0,6.44,Rejected
117,79031550799,M,0,4611.25,29602.35,Secondary,Owned house,Self-employed,2021-08-25,2023-03-18,5,3.8,Accepted
118,66082425995,F,3,10922.86,11241.62,Secondary,Rented apartment,Manager,2021-08-25,2023-03-18,2,6.26,Rejected
119,91040549896,M,0,4234.08,18494.62,Secondary,Owned house,Laborer,2021-08-25,2023-04-17,3,3.42,Accepted
120,96031852314,F,2,7083.72,23774.12,Higher education,Owned house,Manager,2021-08-25,2023-02-16,0,4.56,Accepted
121,97122667659,F,0,3723.34,26110.24,Secondary,Living with parents,Manager,2021-09-01,2022-05-29,0,5.89,Accepted
122,71052329102,M,4,13833.79,15977.58,Higher education,Rented apartment,Self-employed,2021-09-01,2023-03-25,3,3.15,Accepted
123,67102756094,F,4,3916.83,21772.58,Incomplete higher education,Living with parents,Manager,2021-09-01,2023-03-25,0,5.53,Accepted
124,53050435057,M,3,9330.64,6253.14,Higher education,Owned house,Manager,2021-09-01,2023-05-24,0,2.97,Accepted
125,72100136874,M,3,7504.65,8289.18,Incomplete higher education,Living with parents,Manager,2021-09-01,2023-03-25,3,4.38,Accepted
126,99042334666,F,1,9642.77,4501.56,Incomplete higher education,Rented apartment,Self-employed,2021-09-01,2022-10-26,0,5.81,Accepted
127,76070520623,M,2,4164.32,22939.11,Incomplete higher education,Living with parents,Manager,2021-09-01,2022-06-28,0,3.79,Accepted
128,03260473046,F,0,12867.22,2180.63,Secondary,Living with parents,Manager,2021-09-01,2022-12-25,0,5.71,Accepted
129,58070486357,M,0,11630.52,26660.36,Higher education,Owned house,Self-employed,2021-09-01,2022-10-26,1,2.0,Accepted
130,02213031967,F,1,3524.44,29705.78,Higher education,Rented apartment,Manager,2021-09-01,2023-08-22,0,5.35,Accepted
131,85061190838,F,3,8063.8,6106.53,Incomplete higher education,Owned house,Self-employed,2021-09-08,2022-03-07,0,5.87,Accepted
132,82111204223,M,4,5522.64,23467.08,Secondary,Owned house,Laborer,2021-09-08,2023-05-01,1,3.88,Accepted
133,60010878563,F,4,10827.98,8434.92,Higher education,Owned house,Self-employed,2021-09-08,2022-11-02,2,5.01,Accepted
134,99070503534,F,3,4657.08,24421.02,Secondary,Owned house,Laborer,2021-09-08,2023-05-31,0,7.2,Rejected
135,84060673703,M,1,11645.92,11171.7,Incomplete higher education,Owned house,Manager,2021-09-08,2022-11-02,5,3.19,Accepted
136,98052890107,M,1,3102.21,12555.09,Incomplete higher education,Owned house,Self-employed,2021-09-08,2022-11-02,0,5.16,Accepted
137,53022168473,M,1,9466.32,17740.41,Secondary,Rented apartment,Laborer,2021-09-15,2023-07-07,7,3.56,Accepted
138,85061190838,F,1,12030.47,7264.09,Higher education,Living with parents,Manager,2021-09-15,2022-10-10,0,4.15,Accepted
139,58020426094,F,2,6170.62,22473.88,Higher education,Living with parents,Self-employed,2021-09-15,2022-07-12,4,5.5,Accepted
140,83041878777,M,4,3185.49,24254.83,Higher education,Living with parents,Manager,2021-09-15,2022-12-09,0,3.38,Accepted
141,70031638983,M,1,14396.68,22967.81,Higher education,Rented apartment,Self-employed,2021-09-15,2023-09-05,3,3.14,Accepted
142,85032189621,F,1,8405.92,25787.83,Higher education,Living with parents,Manager,2021-09-15,2022-10-10,0,3.7,Accepted
143,84060673703,F,4,7276.67,6135.66,Secondary,Rented apartment,Laborer,2021-09-15,2023-03-09,5,6.02,Rejected
144,99120512716,M,0,2096.95,29948.33,Incomplete higher education,Owned house,Self-employed,2021-09-15,2023-01-08,0,5.37,Accepted
145,65122618829,F,4,3071.42,4560.77,Incomplete higher education,Owned house,Self-employed,2021-09-15,2022-06-12,2,6.85,Rejected
146,71012885096,M,2,2709.56,10330.41,Incomplete higher education,Living with parents,Laborer,2021-09-15,2022-07-12,5,3.85,Accepted
147,76122751168,F,1,4318.33,7173.34,Secondary,Rented apartment,Self-employed,2021-09-15,2023-05-08,1,5.03,Accepted
148,65070882017,M,2,10702.5,10835.59,Incomplete higher education,Owned house,Laborer,2021-09-22,2023-07-14,6,3.97,Accepted
149,83041878777,M,4,2512.79,9021.85,Incomplete higher education,Living with parents,Laborer,2021-09-22,2023-06-14,5,4.46,Accepted
150,60010878563,M,2,12534.45,4467.08,Higher education,Living with parents,Self-employed,2021-09-22,2022-04-20,0,2.57,Accepted
151,84042384911,M,1,3714.64,16509.08,Higher education,Owned house,Laborer,2021-09-22,2023-07-14,4,2.24,Accepted
152,81110250227,M,3,2305.35,4269.79,Secondary,Living with parents,Self-employed,2021-09-22,2023-07-14,0,4.51,Accepted
153,70070850929,F,1,6364.27,13580.14,Incomplete higher education,Living with parents,Laborer,2021-09-22,2022-05-20,7,6.21,Rejected
154,01311928834,F,2,13064.15,14278.44,Secondary,Rented apartment,Laborer,2021-09-22,2022-04-20,0,5.96,Accepted
155,58072450512,F,1,13002.86,10680.39,Secondary,Owned house,Laborer,2021-09-22,2022-11-16,1,6.02,Rejected
156,79031550799,M,1,8779.36,29449.65,Secondary,Living with parents,Laborer,2021-09-22,2023-04-15,4,3.72,Accepted
157,05303184672,F,0,14450.7,16325.47,Higher education,Rented apartment,Laborer,2021-09-22,2023-04-15,0,4.09,Accepted
158,91040973877,M,4,13554.43,25346.04,Incomplete higher education,Owned house,Laborer,2021-09-22,2023-08-13,0,4.31,Accepted
159,72062818713,M,2,14910.2,16916.95,Higher education,Living with parents,Manager,2021-09-22,2023-03-16,2,2.85,Accepted
160,56111621589,M,2,3285.62,6569.99,Incomplete higher education,Owned house,Self-employed,2021-09-22,2023-06-14,3,5.17,Accepted
161,90022651923,M,0,8031.24,5663.68,Secondary,Owned house,Laborer,2021-09-22,2023-09-12,5,4.07,Accepted
162,73022480241,M,4,10960.53,9395.86,Higher education,Owned house,Self-employed,2021-09-22,2023-08-13,1,3.86,Accepted
163,53022168473,M,4,9196.22,27486.69,Secondary,Owned house,Self-employed,2021-09-29,2022-12-23,2,5.2,Accepted
164,66120934357,M,2,7809.65,12369.3,Secondary,Owned house,Manager,2021-09-29,2022-04-27,4,3.0,Accepted
165,59040538996,M,1,10281.25,11276.75,Secondary,Rented apartment,Laborer,2021-09-29,2023-04-22,5,3.93,Accepted
166,99120834581,F,2,5399.13,13531.82,Incomplete higher education,Owned house,Laborer,2021-09-29,2022-09-24,0,6.43,Rejected
167,60061246707,M,4,10111.73,22376.28,Higher education,Living with parents,Laborer,2021-09-29,2022-06-26,6,3.67,Accepted
168,72062818713,M,4,14757.51,24496.64,Secondary,Owned house,Self-employed,2021-09-29,2022-11-23,4,3.95,Accepted
169,02213031967,F,3,8872.84,12419.53,Higher education,Owned house,Self-employed,2021-09-29,2022-05-27,0,6.16,Rejected
170,53022168473,F,1,2479.22,3711.66,Incomplete higher education,Rented apartment,Laborer,2021-10-06,2022-08-02,7,5.59,Accepted
171,88053050299,F,4,11930.47,29172.58,Higher education,Rented apartment,Laborer,2021-10-06,2023-07-28,7,5.01,Accepted
172,02281190300,M,1,2926.92,29268.84,Secondary,Living with parents,Self-employed,2021-10-06,2022-07-03,0,4.75,Accepted
173,59040538996,F,4,11979.5,16907.94,Secondary,Owned house,Manager,2021-10-06,2022-08-02,6,6.05,Rejected
174,01311928834,F,4,2868.23,17968.9,Incomplete higher education,Rented apartment,Manager,2021-10-06,2022-05-04,0,6.76,Rejected
175,65110365888,F,0,7385.21,28350.97,Higher education,Living with parents,Manager,2021-10-06,2023-01-29,6,2.7,Accepted
176,99120512716,F,0,9426.8,11176.72,Incomplete higher education,Rented apartment,Manager,2021-10-06,2022-10-31,0,5.92,Accepted
177,03260473046,M,3,13297.87,14238.15,Secondary,Rented apartment,Laborer,2021-10-06,2023-08-27,0,5.06,Accepted
178,58070486357,M,1,4836.7,21432.69,Incomplete higher education,Rented apartment,Self-employed,2021-10-06,2023-06-28,6,4.56,Accepted
179,91040973877,M,3,7479.0,14197.39,Secondary,Rented apartment,Self-employed,2021-10-06,2023-06-28,0,5.71,Accepted
180,53022168473,F,4,2046.85,21571.48,Higher education,Living with parents,Laborer,2021-10-13,2023-07-05,5,6.08,Rejected
181,76040656560,F,4,12155.48,7391.14,Incomplete higher education,Rented apartment,Manager,2021-10-13,2023-05-06,0,5.39,Accepted
182,50102106818,F,4,9838.76,15756.55,Secondary,Owned house,Manager,2021-10-13,2022-07-10,6,6.29,Rejected
183,71052329102,M,2,6882.74,25797.53,Secondary,Owned house,Self-employed,2021-10-13,2022-05-11,7,3.33,Accepted
184,70031638983,F,1,8071.66,12561.87,Incomplete higher education,Owned house,Self-employed,2021-10-13,2022-05-11,4,6.2,Rejected
185,62101403936,F,2,2193.14,3079.89,Higher education,Living with parents,Laborer,2021-10-13,2022-12-07,1,4.35,Accepted
186,98082920521,F,2,7874.48,9213.14,Secondary,Rented apartment,Self-employed,2021-10-13,2022-11-07,0,5.72,Accepted
187,58042429527,F,0,6610.82,24973.5,Incomplete higher education,Owned house,Laborer,2021-10-13,2022-05-11,1,5.97,Accepted
188,64020831292,F,2,10349.42,4464.08,Secondary,Owned house,Laborer,2021-10-13,2022-09-08,5,4.91,Accepted
189,58072450512,F,4,5003.83,10106.65,Higher education,Owned house,Self-employed,2021-10-13,2023-06-05,6,4.53,Accepted
190,58070486357,M,1,6620.73,16212.19,Incomplete higher education,Living with parents,Manager,2021-10-13,2022-11-07,1,4.01,Accepted
191,90022651923,F,0,2721.53,9306.22,Incomplete higher education,Owned house,Laborer,2021-10-13,2022-06-10,1,6.88,Rejected
192,88032341309,M,3,6651.36,25901.78,Secondary,Rented apartment,Self-employed,2021-10-13,2022-10-08,4,3.61,Accepted
193,02281190300,F,0,3701.78,17499.11,Incomplete higher education,Living with parents,Manager,2021-10-20,2023-05-13,0,6.31,Rejected
194,70031638983,F,3,2516.77,2983.66,Secondary,Living with parents,Manager,2021-10-20,2023-09-10,6,6.04,Rejected
195,56111131979,F,1,6977.25,2109.84,Higher education,Living with parents,Self-employed,2021-10-20,2023-03-14,2,5.01,Accepted
196,01311928834,M,3,8242.75,28185.35,Secondary,Owned house,Manager,2021-10-20,2022-05-18,0,6.46,Rejected
197,99120512716,M,1,13482.42,17039.66,Secondary,Rented apartment,Self-employed,2021-10-20,2023-06-12,0,5.2,Accepted
198,72062818713,F,0,12946.53,18748.67,Higher education,Living with parents,Manager,2021-10-20,2022-10-15,5,3.51,Accepted
199,91041803526,M,3,6628.29,18168.14,Incomplete higher education,Owned house,Laborer,2021-10-20,2023-05-13,7,5.59,Accepted
200,89042696033,F,4,2689.44,1854.28,Secondary,Rented apartment,Self-employed,2021-10-20,2023-03-14,1,6.01,Rejected
201,96031852314,F,4,10698.57,2657.36,Higher education,Owned house,Manager,2021-10-20,2022-08-16,0,4.7,Accepted
202,56051168514,F,1,9757.36,6665.35,Incomplete higher education,Living with parents,Self-employed,2021-10-27,2023-07-19,1,6.46,Rejected
203,97040317055,M,2,6628.72,11618.17,Incomplete higher education,Owned house,Laborer,2021-10-27,2022-08-23,0,4.38,Accepted
204,59061235399,M,3,7883.78,2069.36,Higher education,Living with parents,Self-employed,2021-10-27,2022-09-22,4,2.04,Accepted
205,87121517782,F,4,14023.55,13710.42,Higher education,Rented apartment,Laborer,2021-10-27,2022-09-22,0,3.91,Accepted
206,53050435057,M,2,6806.27,8008.44,Higher education,Living with parents,Manager,2021-10-27,2022-12-21,2,3.75,Accepted
207,72061926062,F,0,8492.69,10665.61,Higher education,Living with parents,Manager,2021-10-27,2023-04-20,5,3.23,Accepted
208,49051037293,F,3,2888.84,15625.93,Secondary,Rented apartment,Self-employed,2021-10-27,2023-07-19,1,6.81,Rejected
209,96032273201,M,3,8806.14,6182.7,Incomplete higher education,Rented apartment,Laborer,2021-10-27,2022-07-24,0,6.05,Rejected
210,86101514125,M,2,12426.62,27469.31,Higher education,Living with parents,Manager,2021-10-27,2022-10-22,0,2.53,Accepted
211,01230101756,M,1,2762.96,12282.15,Higher education,Living with parents,Self-employed,2021-10-27,2023-03-21,0,3.77,Accepted
212,79031550799,M,2,9562.73,28353.57,Higher education,Owned house,Manager,2021-10-27,2022-05-25,1,2.05,Accepted
213,91040973877,M,0,9574.59,2518.28,Incomplete higher education,Rented apartment,Self-employed,2021-10-27,2022-10-22,0,4.07,Accepted
214,97040317055,F,3,12797.05,10299.11,Higher education,Living with parents,Manager,2021-11-03,2022-08-30,0,5.69,Accepted
215,58020426094,M,0,11795.78,2493.98,Incomplete higher education,Living with parents,Manager,2021-11-03,2022-07-31,7,3.95,Accepted
216,87121517782,M,4,11705.45,23270.53,Higher education,Owned house,Laborer,2021-11-03,2023-05-27,6,3.96,Accepted
217,84042384911,M,2,13422.44,29147.49,Higher education,Owned house,Laborer,2021-11-03,2022-11-28,0,2.52,Accepted
